,text,page_number
4248,"Dans la configuration du cas de base, le risque d’avoir au moins une heure de défaillance sur l’hiver 2022-2023 est de l’ordre de 31 % tandis que la probabilité de rencontrer au moins une situation de délestage lors de ce même hiver diminue à environ 16 %. En comparaison, lors de l’hiver 2020-2021 pour lequel le niveau de sécurité d’approvisionnement est proche de celui du critère public, la probabilité d’occurrence de défaillance au moins une fois dans l’année est de l’ordre de 25 % et celle d’avoir recours au délestage est de 13 %.",96
4249,"Selon les configurations, les leviers post marché permettent de résorber entre 25 et 35 % des situations de défaillance en amont du délestage localisé.",96
4250,"La profondeur moyenne des déséquilibres est ainsi mécaniquement réduite grâce à l’activation de ces leviers. Ainsi, parmi les situations identifiées comme « défaillances » sur l’hiver 2022-2023, la profondeur moyenne des déséquilibres restants est ainsi réduite à 3,5 GW après l’activation des moyens post marché, contre 4,8 GW initialement.",96
4285,Figure 5.14 Influence des leviers post marché sur la profondeur de déséquilibre offre- demande (parmi les heures « en déséquilibre »),97
4328,"Par ailleurs, l’activation de ces moyens permet de réduire essentiellement les déséquilibres de courte durée : ainsi, la moitié des situations de défaillance de moins de trois heures sont résorbées par les leviers post marché. Cette analyse confirme que la mise en œuvre de ces moyens",97
4329,"permet le passage de pointes de consommation élevées, mais n’a pas vocation à remédier aux déséquilibres entre l’offre de production et la demande sur de longues durées : parmi les situations de défaillance de plus de trois heures, seulement une sur dix est résolue par l’activation de ces leviers.",97
4334,"u le facteur de charge éolien minimal : plus ou moins important selon la zone étudiée (France, Europe) et/ou la durée d’observation (plusieurs heures à plusieurs jours consécutifs).",98
4335,"Par ailleurs, étudier la robustesse du diagnostic de sécurité d’approvisionnement à moyen terme à partir de données historiques pose la question de la représentativité des données à considérer :",98
4336,"u la capacité installée du parc nucléaire français, bien que globalement stable depuis 200042, fait face à une disponibilité en baisse ces dernières années (cf. 5.4.1). Cette plus faible disponibilité devrait a priori se poursuivre à moyen terme ;",98
4338,"u du fait du réchauffement climatique, le climat des années 1980 (marqué par deux vagues de froid bien plus intenses que celle de 2012) n’est pas nécessairement représentatif de celui de la décennie prochaine.",98
4339,"Pour pallier les difficultés inhérentes aux choix des stress tests, le Bilan prévisionnel a adopté une approche « normalisée » pour déterminer les situations historiques à étudier.",98
4340,"u Les stress tests sont définis à partir des situations les plus contraignantes pour le système, choisies sur une période de référence globalement centrée sur le « cœur de l’hiver »43.",98
4341,"u Les stress tests sont fondés sur un historique de données récent, représentatif du système électrique actuel (disponibilité nucléaire, foisonnement des énergies renouvelables), constitué des trois derniers hivers pour les stress tests focalisés sur les productions nucléaire et éolienne.",98
4343,"Les analyses probabilistes telles que restituées dans le reste de ce chapitre peuvent ne pas être suffisantes pour permettre une compréhension adéquate des facteurs de risque les plus importants pour le système. En complément des indicateurs réglementaires, une approche visant à caractériser la résilience du système à des situations particulièrement contraignantes, au travers de plusieurs « stress tests », est donc utile. Ces stress tests, identifiés comme des points clés lors de la concertation auprès des parties prenantes intéressées, se fondent sur des configurations effectivement rencontrées au cours des dernières années :",98
4344,"u l’indisponibilité simultanée et imprévue de plusieurs réacteurs nucléaires, en reprenant une situation vécue au début de l’hiver 20162017 au cours de laquelle l’ASN avait demandé l’arrêt de plusieurs réacteurs suite à la découverte d’une anomalie générique sur des générateurs de vapeur ;",98
4345,"u des épisodes de vent faible ayant occasionné une très faible production éolienne, spécifiquement en France (début janvier 2017 avec ponctuellement un facteur de charge des parcs éoliens français de 1 %) ou de manière générale en Europe (fin janvier 2017 avec un facteur de charge éolien observé en France et dans les pays voisins de l’ordre de 13 % en moyenne sur cinq jours) ;",98
4346,"u des vagues de froid impliquant des niveaux de consommation importants, notamment la vague de froid de février 2012, d’une durée et d’une ampleur inédite au cours des vingt dernières années ayant conduit au maximum historique de consommation en France, ou des vagues de froid précoces et tardives.",98
4349,"42. À l’exclusion du surgénérateur Phénix arrêté en 2010 et des augmentations de puissance de certains réacteurs du palier 900 MW 43. Du 4 décembre au 18 février pour un calendrier normalisé avec un lundi au 1er janvier (période centrée autour de la 2e semaine de janvier, semaine de risque maximal pour le système électrique)",98
4352,"Chaque situation est alors rejouée sur le système électrique projeté en début et milieu d’horizon, durant la semaine la plus critique de l’analyse (deuxième semaine de janvier), en figeant les paramètres propres au stress test ciblé (les autres aléas sont inchangés).",99
4354,"Le planning pluriannuel des arrêts programmés des réacteurs nucléaires construit par EDF, rendu public trois ans en amont et réactualisé régulièrement, permet généralement, au regard des autres hypothèses, de respecter le critère d’approvisionnement, en maximisant la disponi bilité du parc nucléaire au cœur de l’hiver.",99
4356,44. Les deux réacteurs de Fessenheim seront arrêtés en 2020 et ne sont donc pas présents dans les différentes analyses de sécurité d’approvisionnement du Bilan prévisionnel,99
4357,"45. En 2016, à la demande de l’ASN une campagne de contrôle a été menée sur dix réacteurs du palier 900 MW et deux réacteurs de palier 1 450 MW pour",99
4359,"programmation, à subir des arrêts fortuits en temps réel ou à prolonger des arrêts en cours au-delà de ce qui était prévu initialement dans le planning.",99
4360,"Ces nouveaux arrêts peuvent, dans certains cas, affecter plusieurs réacteurs simultanément et ainsi diminuer de plusieurs gigawatts la puissance disponible du parc nucléaire.",99
4362,"L’analyse de l’historique montre ainsi que la disponibilité du parc nucléaire – sans les deux réacteurs de Fessenheim44 – a atteint son plus bas niveau hivernal lors de la troisième semaine de décembre 2016. La puissance moyenne disponible lors des jours ouvrés était alors de l’ordre de 48 GW, bien en dessous de la puissance moyenne observée lors des jours ouvrés pour les trois derniers hivers proche de 54 GW.",99
4363,Un défaut générique nécessitant une campagne de contrôle d’envergure et l’arrêt simultané de nombreux réacteurs a en effet affecté la disponibilité du parc en fin d’année 201645. Du 12 au 16 décembre,99
4380,"46. France, Allemagne, Grande-Bretagne, Italie et Espagne 47. La puissance installée en France était alors d’environ 11,7 GW 48 . La puissance cumulée installée en France, Grande-Bretagne, Allemagne, Italie et Espagne était alors d’environ 108 GW",100
4383,"u 10 réacteurs en arrêts planifiés hors visite décennale (Bugey 3, 4 et 5, Dampierre 3, Gravelines 2, Tricastin 1, 3 et 4, Cattenom 3, Civaux 2) ;",100
4385,"Dans le cas où la disponibilité du parc nucléaire serait dégradée comme durant l’hiver 2016-2017, la probabilité de devoir faire appel aux moyens exceptionnels serait doublée",100
4386,"La faible disponibilité du parc nucléaire constatée en fin d’année 2016 constitue un événement exceptionnel. La sensibilité du diagnostic à ce type de situation est évaluée en « rejouant » la disponibilité nucléaire historique du 12 au 16 décembre 2016, sans Fessenheim, lors de la semaine la plus critique de l’étude (2e semaine de janvier) ; les autres aléas sont maintenus.",100
4387,"Dans cette configuration, la probabilité de faire appel aux moyens post marché lors de la semaine la plus critique serait doublée passant à environ 23 % pour les hivers 2020-2021 ou 20222023, contre environ 8 % à 11 % sous les hypothèses du cas de base.",100
4388,Cette analyse illustre la forte dépendance de la sécurité d’alimentation à la disponibilité du parc nucléaire. Cette dépendance évoluera à l’avenir en fonction de la diversification du mix électrique.,100
4389,"5.4.2 L’influence des situations de vent faible sur la sécurité d’approvisionnement croît à moyen terme, a fortiori lorsque ces épisodes touchent aussi les pays voisins",100
4390,"En France, la capacité installée du parc éolien devrait atteindre 18 GW fin 2020 et dépasser celle de la filière thermique fossile. La filière éolienne se positionnera",100
4392,"En Europe de l’Ouest, au périmètre modélisé par le Bilan prévisionnel, cette filière se positionne déjà en deuxième position derrière le thermique fossile avec 170 GW de capacités installées et pourrait devenir la filière la plus importante d’ici 2025, avec plus de 225 GW prévus.",100
4393,Le caractère intermittent de la production éolienne soulève régulièrement des interrogations sur les conséquences d’épisodes de vent faible sur la sécurité d’approvisionnement. La robustesse du diagnostic à des situations de vent faible doit être étudiée.,100
4395,"L’analyse des données des trois derniers hivers illustre la variabilité de la production éolienne, en France et dans les pays voisins :",100
4396,"u en France, le facteur de charge de l’éolien terrestre observé varie, en moyenne glissante sur cinq jours, de 6 % à 65 % ;",100
4397,"u la variabilité du facteur de charge éolien se révèle moins importante sur un périmètre élargi aux pays voisins de la France46, en raison du foisonnement spatial des aléas climatiques : après pondération de la capacité installée, en moyenne glissante sur cinq jours, le facteur de charge éolien varie entre 13 % et 50 %.",100
4400,"2017 est caractérisée par un facteur de charge éolien très faible en France, de l’ordre de 6 % en moyenne, avec un minimum de l’ordre de 1 %, provoquant des creux de production ponctuellement inférieur à 100 MW, et un maximum de 21 %47 ;",100
4401,"u la période du 20 au 24 janvier 2017 est caractérisée par un très faible facteur de charge éolien pondéré en France et chez ses principaux voisins, d’environ 13 % en moyenne, avec un minimum inférieur à 9 % et un maximum de l’ordre de 17 %48.",100
4403,"49. Pondérés par les puissances installées en France, Allemagne, Grande-Bretagne, Italie et Espagne 50. France, Allemagne, Grande-Bretagne, Italie et Espagne pour les deux stress tests étudiés (pour rappel, la semaine du stress test « vent faible en France » est choisie d’après le critère de facteur de charge en France, mais pour conserver les corrélations spatiales, le stress test est bien joué en appliquant les conditions de vent en France et chez ses voisins)",101
4404,"Le foisonnement spatial des conditions climatiques, influant la production d’origine éolienne, s’illustre par un facteur de charge pondéré moins variable que celui de chaque pays pris indépendamment. Sur la semaine étudiée, les pays du sud de l’Europe compensent en partie les faibles facteurs de charge observés en France, en Grande-Bretagne ou en Allemagne (cf. Figure 5.17).",101
4418,"Figure 5.17 Facteurs de charge éolien observés en hiver, en France (à gauche) et en intégrant ses principaux voisins49 (à droite)",101
4448,"La sensibilité du diagnostic à des situations de vent faible est évaluée en « rejouant » les facteurs de charge éoliens observés sur les semaines historiques identifiées, pour la France et ses principaux voisins50, lors de la semaine la plus critique de l’étude (2e semaine de janvier) ; les autres aléas sont maintenus.",101
4449,"À court terme, les deux stress tests (vent faible en France ou en Europe de l’Ouest) ont des impacts similaires. Dans ces configurations, la probabilité de faire appel aux moyens post marché augmenterait légèrement, atteignant environ 10 % lors de la semaine la plus critique de l’hiver 2020-2021, contre environ 8 % sous les hypothèses du cas de base.",101
4450,"En revanche, les résultats des deux configurations se différencient dès le milieu d’horizon. Alors que la probabilité de faire appel aux moyens post marché lors de la semaine la plus critique de l’hiver 2022-2023 est de 11 % dans le cas de base, le stress test de vent faible au",101
4453,"périmètre France ne modifie que marginalement cette valeur à hauteur de 12 %. En revanche, le stress test de vent faible au périmètre Europe de l’Ouest impacte plus fortement le système électrique, portant cette probabilité à environ 18 %.",102
4454,"Ces éléments illustrent la dépendance croissante de la sécurité d’approvisionnement aux situations de vent faible, principalement lorsque ces épisodes impactent une zone élargie aux pays voisins de la France. Cette dépendance devrait s’accentuer à l’avenir avec le développement des énergies renouvelables et la réduction des parcs thermiques et en Europe.",102
4456,"La projection de facteurs de charge nationaux historiques sur un système futur, mise en œuvre pour l’étude de ces stress tests, se heurte toutefois à plusieurs limites méthodologiques. Notamment, cette approche ne permet pas de prendre en compte :",102
4457,"u l’évolution du foisonnement, avec certaines tendances favorables (par exemple le développement de l’éolien en mer en France) ou défavorables (par exemple la saturation des sites à gisements de vent élevés) ;",102
4459,"Pour affiner l’analyse, RTE adopte d’ores et déjà une modélisation probabiliste intégrant des facteurs de charge différenciés par zone de vent en France pour établir le diagnostic de sécurité d’approvisionnement du Bilan prévisionnel (hors stress tests).",102
4460,"Avec l’appui des parties prenantes, RTE poursuit ses travaux d’amélioration des différentes modélisations, notamment dans le cadre des travaux associés aux scénarios portant jusqu’à 205051.",102
4462,"Compte tenu de la thermosensibilité du système électrique, la forte variabilité des conditions climatiques se répercute directement sur la consommation électrique en France, avec des appels de puissance moyens sur la journée variant de moins de 55 GW à près de 95 GW en hiver au cours de la dernière décennie, lors des jours ouvrés.",102
4463,"La vague de froid de février 2012 constitue un évènement exceptionnel, d’une durée et d’une ampleur inédite au cours des vingt dernières années",102
4464,"La vague de froid de février 2012, prise en référence, est connue pour être la plus intense de ces dernières années :",102
4465,"u le pic de consommation enregistré à plus de 102 GW à 19 h le 8 février 2012 est le plus élevé jamais atteint en France. La comparaison des pics de consommation observés ces dernières années confirme le caractère exceptionnel de cet évènement, qui dépasse de plus de 5 GW les autres pics de consommation annuels historiques (96,7 GW en 2010 et 96,3 GW en 2018) ;",102
4466,"u la consommation moyenne hebdomadaire était également particulièrement élevée (90 GW en moyenne sur la deuxième semaine de février 2012 contre 86,4 GW pour la dernière semaine de février 2018).",102
4495,La survenue d’un épisode climatique similaire à la vague de froid de février 2012 conduirait à un recours quasiment certain aux moyens post marché,103
4497,"évaluée en « rejouant » les conditions climatiques de la semaine du 8 février 2012 lors de la semaine la plus critique de l’étude (2e semaine de janvier). Les données historiques sont utilisées pour la température et les facteurs de charge éoliens52, pour l’ensemble des pays européens considérés dans le Bilan prévisionnel ; les autres aléas sont maintenus.",103
4498,Les conditions climatiques de février 2012 sont projetées sur la consommation du système actuel pour la semaine la plus critique. Cette projection conduit à :,103
4499,"u une consommation électrique maximale de l’ordre de 102 GW, similaire au pic de consommation historique, et des pics de consommation journaliers de l’ordre de 100 GW le reste de la semaine (les jours ouvrés) ;",103
4500,"u un déplacement de la pointe infrajournalière en matinée, plutôt que le soir comme ce fut le cas en février 2012. Cet effet s’explique en partie par la forte amélioration de l’efficacité énergétique de l’éclairage ces dernières années (avec l’essor des lampes LED notamment), usage très contributeur à la pointe du soir chez les ménages. Il s’explique également par le profil",103
4501,"52. Les facteurs de charge solaires ne sont pas pris en compte pour ne pas introduire du biais dans l’analyse, le profil de production solaire étant dépendant du",103
4543,"53. À titre d’illustration, le 8 février 2012, la pointe du soir était supérieure de l’ordre de 2 GW par rapport à la consommation matinale, alors que l’écart était de l’ordre de 5 GW une semaine auparavant",104
4545,"du chauffage tertiaire, plus sollicité le matin que le soir, qui déforme la courbe de charge lors de vagues de froid marquées53.",104
4546,"La survenue d’une vague de froid similaire à celle de février 2012 conduirait à un recours quasiment certain aux moyens post marché. Dans cette configuration, la probabilité de faire appel aux moyens post marché la semaine la plus critique (2e semaine de janvier) dépasserait 95 %, et excéderait largement les risques évalués en cas d’indisponibilité simultanée de réacteur nucléaires ou d’épisode de vent faible.",104
4547,"La conclusion qui en découle est claire : une vague de froid de type « février 2012 » constitue un événement « hors dimensionnement » par rapport au critère réglementaire. Le système français n’est ainsi pas dimensionné pour y faire face sans faire appel aux leviers post marché, voire au délestage. Le fait qu’il ait été possible de maintenir l’alimentation illustre plutôt le caractère surcapacitaire du parc de production de l’époque par rapport au critère fixé par les pouvoirs publics ainsi que l’excellente disponibilité des moyens de production.",104
4548,Figure 5.22 Probabilité de survenue d’au moins une heure de défaillance la semaine la plus critique de l’hiver (2e semaine de janvier),104
4557,"D’autres situations contraignantes pourraient affecter le système électrique en dehors du cœur de l’hiver. Deux éclairages complémentaires sont apportés pour illustrer l’impact de vagues de froid d’intensité plus faible, mais particulièrement précoces ou tardives. Ces analyses illustrent que le risque de tension sur la sécurité d’alimentation est la conséquence d’une multitude d’aléas et qu’il ne se manifeste pas seulement en période hivernale.",104
4558,L’analyse d’un historique climatique plus ancien fait apparaître deux évènements atypiques dont l’intensité est bien moindre que la vague de froid de 2012 mais dont l’effet sur le système électrique actuel ou futur pourrait être notable :,104
4560,"un épisode de froid précoce, avec des records de températures minimales pour un mois de novembre54. Appliqué au système électrique actuel, cet épisode de froid entraînerait des consommations maximales de l’ordre de 92 GW autour du 24 novembre ;",104
4579,"u du 14 février au 10 mars 2005, la France a connu une vague de froid tardive avec des records de températures minimales pour un mois de mars55. Appliqué au système électrique actuel, cet épisode de froid entraînerait des consommations maximales de l’ordre de 97 GW autour du 1er mars.",105
4580,"Compte tenu du placement des arrêts pour maintenance des groupes nucléaires, maximisant la disponibilité au cœur de l’hiver et entraînant une disponibilité fatalement moindre en novembre ou mars, des vagues de froid modérées mais précoces ou tardives pourraient fortement tendre la sécurité d’approvisionnement lors de la semaine d’apparition du phénomène. Par exemple, la probabilité de recours aux moyens post marché s’élèverait à :",105
4581,u plus de 55 % sur la deuxième semaine de novembre 2022 pour une vague de froid similaire à celle de novembre 1998 (au lieu de 5 %) ;,105
4582,u plus de 30 % sur la première semaine de mars 2023 pour une vague de froid similaire à celle de mars 2005 (au lieu de 1 %).,105
4583,L’approche stochastique et l’utilisation d’une base climatique diversifiée et riche (constituée de 200 chroniques climatiques simulées) dans le Bilan prévisionnel permettent de prendre en compte ce type de phénomènes dans la modélisation et de les pondérer dans les indicateurs globaux.,105
4585,"Au-delà du risque accru d’appel aux moyens post marché, l’énergie moyenne de défaillance, fonction de la profondeur et de la durée des déséquilibres, est elle aussi influencée par la survenue des situations étudiées dans le cadre des stress tests.",105
4586,"55. Des températures inférieures à -15° C ont été relevées à Poitiers, Mulhouse, Epinal et jusqu’à 50 cm de neige sont tombés dans le département de la Manche. 56. Une énergie de 100 GWh est par exemple équivalente à la production d’un réacteur nucléaire de 900 MW à pleine puissance pendant plus de 4 jours et demi. 57. Dans le cas de base, la profondeur moyenne de défaillance la semaine la plus critique (2e semaine de janvier) est supérieure à la profondeur moyenne constatée sur l’année entière détaillée en 5.2.2, d’environ 1,5 GW. En effet, la 2e semaine de janvier choisie pour l’étude des stress tests présente la consommation la plus élevée de l’hiver.",105
4587,"Dans le cas de base, l’énergie moyenne à compenser par les moyens post marché la semaine la plus critique de l’hiver 2022-2023 (2e semaine de janvier) s’élève à près de 100 GWh56.",105
4589,"u une profondeur moyenne des déséquilibres évoluant dans un intervalle proche du cas de base, à plus ou moins 15 % (6,3 GW en moyenne dans le cas de base57) ;",105
4590,"u une durée moyenne de défaillance lors des configurations rencontrant des déséquilibres systématiquement en augmentation, mais très contrasté selon l’aléa (proche de 16 heures dans le cas de base, réparties sur les différentes pointes de consommation).",105
4591,"Ainsi, au-delà des probabilités de défaillance déjà nettement plus élevées, le stress test « vague de froid » apparaît aussi le plus contraignant sur deux indicateurs :",105
4594,"u la durée moyenne d’appel aux moyens post marché (42 h lors des semaines présentant un déséquilibre offre- demande, contre 22 h à 25 h pour les autres stress tests) ;",106
4597,"La répartition de la défaillance sur la semaine est corrélée avec la consommation électrique, la production éolienne, la disponibilité des autres moyens de production en France et à l’étranger, ou encore les capacités d’interconnexion.",106
4598,Figure 5.24 Simulation de l’équilibre du système électrique la semaine la plus critique de l’hiver 2022-2023 (2e semaine de janvier) lors d’une vague de froid similaire à celle de 2012,106
4599,"La figure suivante montre ainsi une répartition de la défaillance contrastée sur les jours de la semaine, notamment selon les conditions de vent.",106
4600,"Les différentes analyses concourent à établir qu’au-delà de 2025, le « paysage de défaillance » évolue vers des situations multifactorielles, plutôt qu’une concentration sur une seule vague de froid.",106
4601,"L’approche probabiliste utilisée pour les analyses du Bilan prévisionnel permet ainsi de simuler l’ensemble des aléas envisageables, notamment les conditions climatiques ou la disponibilité de l’offre de production en France et en Europe. Cette approche représente au mieux les différentes combinaisons d’aléas ainsi que leurs corrélations spatiale et temporelle sur l’ensemble du périmètre européen.",106
4625,"L’évolution des paramètres permettant d’établir le diagnostic de sécurité d’approvisionnement s’accompagne de nombreuses incertitudes. Ainsi, l’analyse ne peut pas reposer uniquement sur les résultats obtenus dans le cas de base.",109
4626,La robustesse du diagnostic à l’évolution de différents paramètres est évaluée au travers de variantes restituées sous forme de fiches synthétiques dans la suite du document. Ces variantes examinent l’évolution des paramètres à différents niveaux :,109
4627,"1. au périmètre de la France avec des sensibilités sur les hypothèses d’évolution de la demande et de l’offre (énergies renouvelables, cycles combinés au gaz, turbines à combustion, cogénérations et moyens de production de faible puissance et effacements) en France ;",109
4629,"3. au périmètre européen avec des sensibilités sur l’évolution des parcs thermiques (charbon, nucléaire, gaz) dans les pays voisins et sur le développement des énergies renouvelables.",109
4630,"La sensibilité du diagnostic à la maîtrise du planning des visites décennales ainsi qu’au maintien en disponibilité ou à la conversion à la biomasse des groupes de Cordemais est étudiée dans la partie 7, dédiée aux leviers d’action.",109
4632,"Les hypothèses retenues pour les pays étrangers dans le cadre des études européennes, complétées par des exercices nationaux, constituent les données de référence pour l’analyse du Bilan prévisionnel. Néanmoins, une partie de ces hypothèses fait l’objet de réévaluation fréquente, et il est nécessaire de réaliser des analyses de sensibilité s’en écartant pour évaluer la robustesse du diagnostic à des configurations alternatives.",109
4634,u les rythmes de développement des énergies renouvelables peuvent faire l’objet de révisions aussi bien pour des raisons économiques que d’acceptabilité sociale ;,109
4635,"u la filière nucléaire est soumise à de nombreuses interrogations, notamment concernant le renouvellement du parc en Grande-Bretagne ou encore sur la disponibilité du parc nucléaire en Belgique ;",109
4636,"u la sortie du charbon est envisagée à un rythme susceptible d’évoluer, notamment au vu des dernières annonces sur la perte de compétitivité des centrales au charbon ;",109
4637,u les dates de mises en service effectives de nouvelles capacités de production de semi-base dans certains pays font encore l’objet d’interrogations.,109
4638,Des analyses de sensibilité sur les hypothèses retenues pour les pays voisins sont ainsi réalisées pour tester la robustesse du diagnostic de sécurité d’approvisionnement de la France.,109
4656,La consommation électrique est un des principaux déterminants de l’équilibre offre- demande d’électricité en France. L’analyse de l’historique montre que la consommation est entrée dans une phase de stabilité depuis le tournant des années 2010.,111
4660,"Des analyses de sensibilité ont été menées autour de ce cas de base pour (i) évaluer la robustesse du diagnostic à une consommation croissante (trajectoire haute : +0,2 % par an) et (ii) mesurer les marges de manœuvre supplémentaires résultantes d’une trajectoire de consommation orientée à la baisse (trajectoire basse n° 2 : -0,2 % par an).",111
4691,"L’analyse montre que la situation en matière de sécurité d’approvisionnement se dégrade dès le milieu d’horizon en cas d’augmentation de la consommation. Dans cette configuration (+0,2 % par an), la perte de marges s’évalue à hauteur de 700 MW pour l’hiver 2022-2023. Le critère public ne serait aussi plus respecté lors de l’hiver 2023-2024.",112
4692,"À l’inverse, une baisse modérée de la consommation – selon la trajectoire basse n° 2 (-0,2 % par an) – permettrait d’exploiter le système électrique à un niveau proche de satisfaire le critère de sécurité d’approvisionnement, sur l’ensemble de l’horizon d’étude.",112
4693,"L’évolution de la consommation demeure ainsi un enjeu majeur à moyen terme, et repose entre autres sur (i) les efforts réalisés en matière d’efficacité énergétique et (ii) les actions engagées sur la maîtrise de la pointe.",112
4708,"Les leviers liés à la maîtrise de la consommation sont détaillés dans la suite du document (cf. 7.1) et soulignent l’intérêt d’actions, même ciblées, sur la pointe de consommation.",112
4710,L’effacement constitue un levier adapté à la gestion des pointes électriques et de manière plus générale aux besoins croissants de flexibilité du système électrique. RTE et les pouvoirs publics ont constamment accompagné son développement depuis 2010 et d’importants efforts réglementaires et techniques ont été engagés.,113
4714,"Le cas de base de l’étude considère une augmentation du volume d’effacements, ne permettant toutefois pas d’atteindre les objectifs du projet de PPE, avec une fiabilisation progressive mais modérée des effacements.",113
4715,"Pour compléter l’analyse, les variantes étudiées envisagent (i) d’une part une stabilité de la filière, en volume et en fiabilité, (ii) d’autre part une augmentation plus importante du volume d’effacement, permettant d’atteindre les objectifs du projet de PPE avec une fiabilisation maximale des effacements explicites.",113
4727,"La fiabilisation et la progression du potentiel d’effacement constituent un élément important du diagnostic de sécurité d’approvisionnement. Notamment, la fiabilisation du gisement mobilisé dans le cadre des appels d’offres ne constitue pas un objectif secondaire au regard des enjeux du Bilan prévisionnel.",114
4728,"Plusieurs actions permettraient de consolider la contribution de cette filière à l’équilibre offre- demande : (i) le renforcement de la fiabilité des effacements existants, (ii) le maintien du dispositif de soutien permettant la progression de la filière, et (iii) la sensibilisation des consommateurs engagés dans les contrats d’effacements pour les rendre plus « actifs ».",114
4745,"Dans un contexte où les marges d’exploitation se réduisent, le Bilan prévisionnel 2019 confirme que la tenue des trajectoires de développement des énergies renouvelables ne constitue pas uniquement un enjeu de verdissement du mix, mais est nécessaire pour la sécurité d’approvisionnement.",115
4746,Le développement de la filière éolienne terrestre s’inscrit ces dernières années dans une véritable dynamique de hausse. La mise en place du cadre réglementaire complet et les mesures,115
4749,de simplification et d’accélération identifiées devraient permettre de consolider durablement son développement et de se rapprocher des objectifs du projet de PPE.,115
4750,Le développement de la filière éolienne en mer semble désormais amorcé. La mise en service du premier parc est attendue en 2022.,115
4751,"En revanche, le développement actuel de la filière photovoltaïque reste bien en deçà du rythme nécessaire à l’atteinte des objectifs publics annoncés. Une inflexion significative est nécessaire pour se rapprocher de ces objectifs.",115
4786,"Les hypothèses retenues dans le cas de base reposent sur (i) une progression des filières renouvelables terrestres réaliste, selon un rythme de développement supérieur au rythme observé ces dernières années mais insuffisant à la réalisation des objectifs du projet de PPE et (ii) une trajectoire",116
4789,"Compte tenu des enjeux concernant le parc thermique et nucléaire au cours des prochaines années, le développement rapide des énergies renouvelables et la tenue du calendrier de mise en service des parcs éoliens en mer n’importent pas seulement au titre de la diversification du mix électrique : il s’agit d’un impératif en matière de sécurité d’approvisionnement.",116
4790,"Un faible développement des énergies renouvelables (rythme tendanciel) et/ou des retards de mise en service des parcs éoliens en mer dégraderaient la sécurité d’approvisionnement, à hauteur d’environ 600 MW sur l’hiver 2022-2023 et 1 GW en fin d’horizon.",116
4791,"Au contraire, une accélération par rapport au cas de base, cohérente avec l’atteinte des objectifs du projet de PPE, permettrait d’augmenter les marges de manœuvre pour l’évolution du parc de production en France, notamment la fermeture des centrales au charbon.",116
4792,"En particulier, le raccordement du parc éolien en mer de Saint-Nazaire constitue un levier supplémentaire pour le maintien de la tension en Bretagne dans le cadre de la fermeture de la centrale de Cordemais.",116
4793,L’analyse du Bilan prévisionnel montre l’importance du respect des trajectoires annoncées. Les efforts entrepris sur le développement des énergies renouvelables doivent être poursuivis pour (i) achever l’inflexion des trajectoires de développement des énergies terrestres et (ii) s’assurer de la tenue des calendriers de mises en service des parcs éoliens en mer.,116
4832,"Le parc charbon français se compose aujourd’hui de cinq unités réparties sur quatre sites, pour une puissance installée totale de près de 3 GW.",117
4833,"Annoncée en juillet 2017 dans le cadre du Plan climat, la fermeture des centrales au charbon constitue une priorité du Gouvernement. Le projet de PPE en cours réaffirme cet objectif d’arrêt des dernières centrales électriques fonctionnant exclusivement au charbon d’ici 2022.",117
4834,"La loi relative à l’énergie et au climat, adoptée en septembre 2019, fixe le cadre législatif associé à l’atteinte de cet objectif. La promulgation de la loi ne met cependant pas fin à l’incertitude sur la trajectoire de fermeture des groupes charbon, qui résultera de la décision des exploitants soumis à un nouveau régime de limitation de leurs émissions.",117
4837,"En l’absence de calendrier fixé par les pouvoirs publics ou les exploitants (hors centrale du Havre) à la date de novembre 2019, et dans le prolongement du Bilan prévisionnel 2018, le Bilan prévisionnel 2019 retient une fermeture progressive du parc charbon d’ici 2022, sans prise en compte de projet de reconversion, considérant :",117
4842,"Deux trajectoires alternatives de déclassement sont envisagées en variante. Comme pour le cas de base, ces trajectoires intègrent (i) la fermeture de la centrale du Havre en 2021 et (ii) la fermeture de l’ensemble du parc d’ici 2022.",117
4860,"Les trajectoires alternatives étudiées, aboutissant comme pour le cas de base à une fermeture complète du parc d’ici 2022, jouent uniquement sur les premiers hivers de l’horizon d’étude. Les marges du système évoluent autour du critère de sécurité d’approvisionnement, avec une baisse de l’ordre de 500 MW (soit l’équivalent d’une tranche) sur le premier et/ou le second hiver en fonction de la trajectoire retenue.",118
4861,"La planification des dates de fermeture des centrales, en plus de celle déjà annoncée pour la centrale du Havre, permettra de préciser le diagnostic.",118
4869,Le décalage de la mise en service de la centrale à cycle combiné au gaz de Landivisiau fragiliserait le diagnostic lors de l’hiver 2022-2023,119
4870,"En 2018, le parc de centrales à cycle combiné au gaz représente une capacité installée de 6,2 GW et compte 14 installations.",119
4871,"Le projet de PPE publié en janvier 2019 a réaffirmé l’interdiction de nouveaux projets de centrale thermique à combustible fossile, à l’exception de la centrale à cycle combiné au gaz de Landivisiau actuellement en cours de construction.",119
4872,"La mise en service de la centrale de Landivisiau, initialement prévue pour 2016, a connu d’importants retards, liés en particulier à l’enquête approfondie menée par la Commission européenne et aux contentieux portant sur les autorisations du projet.",119
